serviceType,vehicleMake,vehicleModel,vehicleYear,dayOfWeek,durationMinutes
General Inspection,Ford,Figo,2009,THURSDAY,43
Diagnostics,Honda,Amaze,2024,SUNDAY,66
Oil Change,Mahindra,XUV700,2020,FRIDAY,28
Battery Replacement,Maruti Suzuki,Baleno,2013,TUESDAY,38
Battery Replacement,Maruti Suzuki,Brezza,2019,MONDAY,36
Brake Service,Ford,EcoSport,2016,THURSDAY,58
Engine Service,Tata,Nexon,2026,TUESDAY,84
Brake Service,Kia,Sonet,2009,FRIDAY,66
Wheel Alignment,Honda,Amaze,2025,WEDNESDAY,46
Engine Service,Hyundai,Creta,2012,MONDAY,115
Transmission Service,Honda,Elevate,2025,THURSDAY,104
Transmission Service,Toyota,Fortuner,2017,SATURDAY,170
Brake Service,Maruti Suzuki,Swift,2017,WEDNESDAY,76
Diagnostics,Ford,EcoSport,2022,MONDAY,55
Engine Service,Kia,Sonet,2020,THURSDAY,101
Tire Replacement,Tata,Nexon,2022,WEDNESDAY,46
Transmission Service,Maruti Suzuki,Brezza,2023,FRIDAY,134
Engine Service,Ford,Figo,2025,TUESDAY,98
AC Repair,Ford,EcoSport,2012,WEDNESDAY,75
Engine Service,Honda,Amaze,2009,SUNDAY,112
Engine Service,Hyundai,Verna,2013,SATURDAY,113
Tire Replacement,Mahindra,XUV700,2016,MONDAY,46
AC Repair,Kia,Sonet,2022,FRIDAY,65
Oil Change,Hyundai,i20,2013,WEDNESDAY,36
Brake Service,Mahindra,Scorpio,2016,TUESDAY,65
Engine Service,Kia,Sonet,2026,THURSDAY,93
Transmission Service,Toyota,Innova,2015,SATURDAY,167
Battery Replacement,Toyota,Glanza,2015,SUNDAY,48
Transmission Service,Maruti Suzuki,Ertiga,2020,TUESDAY,123
Wheel Alignment,Maruti Suzuki,Ertiga,2013,FRIDAY,61
Diagnostics,Tata,Harrier,2020,TUESDAY,50
Transmission Service,Tata,Punch,2026,TUESDAY,126
Engine Service,Mahindra,XUV700,2015,SUNDAY,107
Engine Service,Maruti Suzuki,Brezza,2019,WEDNESDAY,110
Engine Service,Toyota,Glanza,2025,WEDNESDAY,93
Oil Change,Mahindra,Scorpio,2017,SUNDAY,37
Wheel Alignment,Maruti Suzuki,Swift,2011,THURSDAY,60
Transmission Service,Ford,EcoSport,2009,TUESDAY,123
Transmission Service,Honda,Amaze,2009,MONDAY,139
Brake Service,Honda,Amaze,2017,MONDAY,63
Brake Service,Mahindra,XUV700,2011,TUESDAY,77
Battery Replacement,Mahindra,Bolero,2014,SUNDAY,39
Engine Service,Maruti Suzuki,Baleno,2021,THURSDAY,102
Brake Service,Hyundai,i20,2016,SUNDAY,81
General Inspection,Toyota,Innova,2009,SUNDAY,58
Brake Service,Tata,Punch,2020,FRIDAY,47
Transmission Service,Ford,EcoSport,2012,SUNDAY,147
Diagnostics,Hyundai,Venue,2019,TUESDAY,60
Engine Service,Mahindra,Scorpio,2013,TUESDAY,115
Brake Service,Kia,Sonet,2009,WEDNESDAY,76
AC Repair,Ford,Figo,2016,WEDNESDAY,71
Battery Replacement,Tata,Punch,2018,FRIDAY,37
Wheel Alignment,Mahindra,Bolero,2026,THURSDAY,57
Brake Service,Mahindra,Bolero,2017,TUESDAY,61
Transmission Service,Maruti Suzuki,Swift,2021,WEDNESDAY,127
Oil Change,Tata,Nexon,2009,MONDAY,37
Tire Replacement,Honda,City,2015,TUESDAY,54
General Inspection,Mahindra,Scorpio,2010,TUESDAY,51
Oil Change,Honda,Elevate,2021,FRIDAY,33
Battery Replacement,Maruti Suzuki,Ertiga,2017,WEDNESDAY,41
AC Repair,Kia,Sonet,2012,THURSDAY,75
Tire Replacement,Kia,Sonet,2022,SATURDAY,60
Battery Replacement,Hyundai,Creta,2019,SUNDAY,40
Engine Service,Tata,Harrier,2017,TUESDAY,103
Tire Replacement,Tata,Nexon,2012,TUESDAY,52
General Inspection,Tata,Altroz,2012,SUNDAY,48
Transmission Service,Maruti Suzuki,Swift,2020,SATURDAY,135
Oil Change,Maruti Suzuki,Baleno,2021,WEDNESDAY,30
Engine Service,Ford,Figo,2008,FRIDAY,112
Battery Replacement,Ford,Figo,2024,SATURDAY,45
Battery Replacement,Mahindra,Scorpio,2022,WEDNESDAY,39
Wheel Alignment,Mahindra,Bolero,2016,THURSDAY,58
Transmission Service,Hyundai,Venue,2012,FRIDAY,152
General Inspection,Ford,Figo,2025,TUESDAY,40
Engine Service,Tata,Punch,2011,SATURDAY,113
Diagnostics,Tata,Nexon,2022,SATURDAY,68
Tire Replacement,Tata,Nexon,2018,TUESDAY,54
Battery Replacement,Tata,Altroz,2021,TUESDAY,43
Brake Service,Maruti Suzuki,Ertiga,2015,FRIDAY,69
Engine Service,Tata,Altroz,2013,WEDNESDAY,96
Tire Replacement,Honda,Amaze,2025,WEDNESDAY,40
Wheel Alignment,Kia,Seltos,2023,SATURDAY,55
Diagnostics,Honda,City,2020,WEDNESDAY,52
Tire Replacement,Hyundai,Venue,2016,SUNDAY,55
Diagnostics,Maruti Suzuki,Baleno,2022,FRIDAY,71
Transmission Service,Ford,EcoSport,2013,FRIDAY,148
Oil Change,Mahindra,XUV700,2022,SUNDAY,36
Engine Service,Ford,EcoSport,2014,THURSDAY,99
Battery Replacement,Honda,City,2012,MONDAY,35
General Inspection,Tata,Harrier,2020,SATURDAY,51
Engine Service,Honda,City,2009,MONDAY,89
Wheel Alignment,Ford,Figo,2024,FRIDAY,47
Brake Service,Honda,Elevate,2019,SATURDAY,75
Engine Service,Mahindra,XUV700,2015,SATURDAY,97
Oil Change,Honda,City,2016,WEDNESDAY,32
Tire Replacement,Kia,Seltos,2026,SUNDAY,51
Diagnostics,Maruti Suzuki,Ertiga,2013,TUESDAY,59
Transmission Service,Maruti Suzuki,Swift,2012,SATURDAY,143
Transmission Service,Mahindra,Bolero,2008,MONDAY,132
Wheel Alignment,Honda,Amaze,2016,SATURDAY,68
Oil Change,Honda,City,2026,THURSDAY,27
Diagnostics,Maruti Suzuki,Baleno,2026,THURSDAY,67
Battery Replacement,Kia,Seltos,2012,SATURDAY,52
Battery Replacement,Maruti Suzuki,Baleno,2013,MONDAY,46
Diagnostics,Kia,Sonet,2012,MONDAY,55
General Inspection,Maruti Suzuki,Swift,2011,THURSDAY,45
Battery Replacement,Hyundai,i20,2009,THURSDAY,42
Battery Replacement,Mahindra,Bolero,2024,SUNDAY,37
Transmission Service,Honda,City,2017,FRIDAY,143
Tire Replacement,Kia,Sonet,2018,TUESDAY,43
Diagnostics,Toyota,Fortuner,2011,TUESDAY,63
Wheel Alignment,Tata,Nexon,2010,WEDNESDAY,65
AC Repair,Tata,Harrier,2008,FRIDAY,88
Brake Service,Tata,Altroz,2017,THURSDAY,74
Transmission Service,Honda,Elevate,2019,WEDNESDAY,147
AC Repair,Maruti Suzuki,Swift,2014,SATURDAY,87
Battery Replacement,Ford,EcoSport,2011,TUESDAY,37
Diagnostics,Maruti Suzuki,Baleno,2016,TUESDAY,57
Brake Service,Mahindra,Scorpio,2017,SUNDAY,76
Battery Replacement,Honda,City,2016,MONDAY,44
Oil Change,Tata,Punch,2009,THURSDAY,32
General Inspection,Mahindra,Bolero,2013,THURSDAY,47
Oil Change,Tata,Nexon,2022,SATURDAY,40
General Inspection,Kia,Sonet,2026,MONDAY,38
Wheel Alignment,Maruti Suzuki,Ertiga,2018,WEDNESDAY,56
Battery Replacement,Hyundai,Creta,2017,MONDAY,39
Transmission Service,Mahindra,Scorpio,2023,FRIDAY,137
Diagnostics,Mahindra,Scorpio,2017,FRIDAY,69
Brake Service,Mahindra,Scorpio,2021,SUNDAY,73
Battery Replacement,Honda,Amaze,2023,SUNDAY,45
Wheel Alignment,Ford,Figo,2008,MONDAY,65
Oil Change,Hyundai,i20,2024,MONDAY,31
AC Repair,Honda,City,2022,THURSDAY,74
Wheel Alignment,Maruti Suzuki,Brezza,2013,THURSDAY,52
Engine Service,Maruti Suzuki,Ertiga,2022,MONDAY,93
Battery Replacement,Hyundai,i20,2018,SATURDAY,45
Engine Service,Hyundai,Verna,2022,MONDAY,96
Tire Replacement,Hyundai,Verna,2015,WEDNESDAY,52
Wheel Alignment,Mahindra,Bolero,2016,THURSDAY,57
Wheel Alignment,Honda,Amaze,2013,MONDAY,57
Transmission Service,Kia,Seltos,2019,FRIDAY,134
Engine Service,Mahindra,Scorpio,2021,SATURDAY,103
Oil Change,Honda,City,2025,MONDAY,31
Brake Service,Honda,Elevate,2014,FRIDAY,63
Diagnostics,Toyota,Glanza,2020,THURSDAY,65
Battery Replacement,Maruti Suzuki,Ertiga,2026,MONDAY,28
Diagnostics,Hyundai,i20,2009,WEDNESDAY,63
AC Repair,Kia,Sonet,2011,WEDNESDAY,92
Oil Change,Maruti Suzuki,Swift,2009,THURSDAY,34
Transmission Service,Ford,Figo,2011,WEDNESDAY,161
Wheel Alignment,Honda,Elevate,2025,MONDAY,53
Transmission Service,Toyota,Fortuner,2008,WEDNESDAY,142
General Inspection,Mahindra,XUV700,2009,WEDNESDAY,61
Transmission Service,Hyundai,Venue,2023,THURSDAY,127
Diagnostics,Honda,Elevate,2010,TUESDAY,58
Diagnostics,Ford,EcoSport,2021,THURSDAY,51
General Inspection,Kia,Sonet,2011,TUESDAY,43
Tire Replacement,Ford,Figo,2009,THURSDAY,50
Tire Replacement,Tata,Harrier,2021,TUESDAY,48
Tire Replacement,Toyota,Fortuner,2026,MONDAY,50
Oil Change,Maruti Suzuki,Ertiga,2013,THURSDAY,35
Battery Replacement,Hyundai,Creta,2022,MONDAY,30
Engine Service,Tata,Nexon,2010,THURSDAY,105
Oil Change,Tata,Nexon,2016,MONDAY,37
Engine Service,Maruti Suzuki,Baleno,2019,SATURDAY,96
Transmission Service,Ford,EcoSport,2011,MONDAY,172
Engine Service,Toyota,Fortuner,2024,MONDAY,89
General Inspection,Kia,Sonet,2017,FRIDAY,51
Diagnostics,Mahindra,Bolero,2024,SATURDAY,72
Tire Replacement,Ford,Figo,2022,MONDAY,46
Oil Change,Toyota,Fortuner,2009,THURSDAY,35
Diagnostics,Mahindra,Scorpio,2010,SUNDAY,77
AC Repair,Maruti Suzuki,Ertiga,2020,MONDAY,64
General Inspection,Tata,Punch,2026,WEDNESDAY,41
AC Repair,Tata,Punch,2020,FRIDAY,70
Diagnostics,Hyundai,Venue,2009,FRIDAY,63
Wheel Alignment,Maruti Suzuki,Brezza,2011,WEDNESDAY,65
AC Repair,Hyundai,Verna,2025,SATURDAY,82
Engine Service,Honda,Amaze,2020,WEDNESDAY,107
General Inspection,Ford,Figo,2013,WEDNESDAY,41
AC Repair,Toyota,Fortuner,2020,THURSDAY,64
Engine Service,Honda,Elevate,2016,FRIDAY,99
Engine Service,Toyota,Innova,2010,THURSDAY,109
Oil Change,Tata,Harrier,2011,THURSDAY,41
Brake Service,Honda,Elevate,2021,WEDNESDAY,77
Engine Service,Tata,Nexon,2024,FRIDAY,112
Wheel Alignment,Kia,Seltos,2009,THURSDAY,57
Battery Replacement,Toyota,Glanza,2023,TUESDAY,42
Diagnostics,Maruti Suzuki,Brezza,2008,FRIDAY,68
General Inspection,Maruti Suzuki,Ertiga,2010,TUESDAY,49
Tire Replacement,Mahindra,Bolero,2013,SUNDAY,57
Tire Replacement,Kia,Seltos,2015,TUESDAY,46
Oil Change,Mahindra,XUV700,2015,MONDAY,34
Wheel Alignment,Mahindra,Bolero,2024,MONDAY,44
Oil Change,Tata,Harrier,2016,SUNDAY,40
Wheel Alignment,Ford,EcoSport,2016,MONDAY,52
Oil Change,Honda,Elevate,2017,WEDNESDAY,31
Oil Change,Kia,Sonet,2010,THURSDAY,36
General Inspection,Tata,Harrier,2025,FRIDAY,38
Engine Service,Hyundai,i20,2020,THURSDAY,99
Wheel Alignment,Maruti Suzuki,Brezza,2016,THURSDAY,54
Engine Service,Maruti Suzuki,Baleno,2018,FRIDAY,107
AC Repair,Toyota,Fortuner,2021,FRIDAY,84
Engine Service,Honda,Elevate,2026,THURSDAY,86
Wheel Alignment,Kia,Sonet,2010,WEDNESDAY,53
Brake Service,Toyota,Glanza,2009,MONDAY,73
Transmission Service,Tata,Nexon,2023,WEDNESDAY,129
Tire Replacement,Kia,Seltos,2019,MONDAY,50
Oil Change,Honda,Elevate,2025,SUNDAY,34
Engine Service,Kia,Seltos,2021,WEDNESDAY,96
Battery Replacement,Maruti Suzuki,Ertiga,2018,WEDNESDAY,48
Transmission Service,Hyundai,Verna,2023,MONDAY,140
Transmission Service,Toyota,Innova,2017,FRIDAY,145
Transmission Service,Toyota,Innova,2009,WEDNESDAY,180
Wheel Alignment,Kia,Sonet,2023,THURSDAY,43
Oil Change,Mahindra,Scorpio,2016,TUESDAY,39
Wheel Alignment,Mahindra,Scorpio,2019,THURSDAY,55
Diagnostics,Mahindra,Bolero,2008,FRIDAY,55
Brake Service,Honda,City,2024,SUNDAY,72
Transmission Service,Hyundai,Verna,2012,TUESDAY,147
AC Repair,Kia,Seltos,2013,SUNDAY,84
AC Repair,Mahindra,Bolero,2017,MONDAY,85
Transmission Service,Mahindra,XUV700,2009,MONDAY,152
AC Repair,Tata,Altroz,2011,TUESDAY,85
Diagnostics,Kia,Sonet,2023,WEDNESDAY,60
AC Repair,Tata,Harrier,2010,THURSDAY,85
Wheel Alignment,Maruti Suzuki,Swift,2019,SUNDAY,60
Engine Service,Toyota,Fortuner,2024,SATURDAY,104
Engine Service,Hyundai,i20,2023,FRIDAY,100
Engine Service,Kia,Sonet,2023,FRIDAY,111
Battery Replacement,Mahindra,Scorpio,2008,SUNDAY,51
Wheel Alignment,Ford,EcoSport,2021,SUNDAY,58
AC Repair,Maruti Suzuki,Baleno,2011,TUESDAY,87
Oil Change,Honda,Elevate,2016,TUESDAY,33
Brake Service,Honda,Amaze,2019,SATURDAY,62
Transmission Service,Kia,Seltos,2022,FRIDAY,119
Battery Replacement,Mahindra,Scorpio,2024,TUESDAY,41
Wheel Alignment,Tata,Nexon,2025,SATURDAY,58
Wheel Alignment,Mahindra,Scorpio,2009,MONDAY,53
AC Repair,Toyota,Glanza,2019,WEDNESDAY,72
Battery Replacement,Honda,City,2011,TUESDAY,39
Tire Replacement,Tata,Punch,2017,SUNDAY,47
Diagnostics,Maruti Suzuki,Brezza,2022,SUNDAY,61
AC Repair,Honda,City,2017,SATURDAY,82
Diagnostics,Tata,Nexon,2014,SUNDAY,62
Engine Service,Kia,Seltos,2010,THURSDAY,105
Engine Service,Hyundai,i20,2020,TUESDAY,98
Oil Change,Toyota,Glanza,2014,MONDAY,27
Tire Replacement,Mahindra,Bolero,2025,FRIDAY,57
Battery Replacement,Toyota,Fortuner,2015,WEDNESDAY,44
Oil Change,Hyundai,i20,2024,MONDAY,26
AC Repair,Ford,Figo,2024,WEDNESDAY,69
AC Repair,Mahindra,XUV700,2016,WEDNESDAY,78
Wheel Alignment,Mahindra,Scorpio,2016,THURSDAY,62
Engine Service,Mahindra,Bolero,2010,THURSDAY,110
Transmission Service,Honda,Amaze,2025,MONDAY,140
Brake Service,Honda,Elevate,2011,TUESDAY,72
Engine Service,Ford,Figo,2025,SATURDAY,95
Transmission Service,Kia,Seltos,2009,WEDNESDAY,153
Brake Service,Ford,EcoSport,2023,MONDAY,61
Battery Replacement,Toyota,Glanza,2015,MONDAY,43
General Inspection,Kia,Sonet,2013,WEDNESDAY,48
Engine Service,Honda,Elevate,2022,TUESDAY,99
Engine Service,Honda,City,2026,SUNDAY,119
Engine Service,Ford,EcoSport,2020,SUNDAY,121
Battery Replacement,Honda,City,2024,SUNDAY,38
Transmission Service,Honda,City,2012,MONDAY,140
Oil Change,Maruti Suzuki,Swift,2013,TUESDAY,35
General Inspection,Kia,Sonet,2021,THURSDAY,43
General Inspection,Hyundai,i20,2024,SUNDAY,41
Engine Service,Ford,Figo,2011,MONDAY,96
Engine Service,Maruti Suzuki,Ertiga,2014,WEDNESDAY,100
Oil Change,Honda,Elevate,2017,WEDNESDAY,34
Tire Replacement,Maruti Suzuki,Swift,2023,WEDNESDAY,40
Engine Service,Tata,Altroz,2018,WEDNESDAY,106
AC Repair,Mahindra,Bolero,2011,MONDAY,94
Oil Change,Ford,Figo,2013,MONDAY,35
Brake Service,Toyota,Glanza,2026,THURSDAY,58
Oil Change,Hyundai,Verna,2021,SATURDAY,37
AC Repair,Kia,Sonet,2010,MONDAY,93
Brake Service,Toyota,Innova,2010,SATURDAY,82
Tire Replacement,Toyota,Innova,2022,FRIDAY,47
Transmission Service,Toyota,Fortuner,2023,MONDAY,135
Engine Service,Hyundai,Venue,2025,SUNDAY,103
Tire Replacement,Toyota,Fortuner,2012,THURSDAY,57
Engine Service,Kia,Seltos,2020,FRIDAY,100
Tire Replacement,Kia,Seltos,2023,FRIDAY,49
Diagnostics,Maruti Suzuki,Ertiga,2008,WEDNESDAY,67
Brake Service,Ford,EcoSport,2026,THURSDAY,54
AC Repair,Hyundai,Creta,2012,MONDAY,85
Brake Service,Ford,EcoSport,2020,MONDAY,63
Wheel Alignment,Maruti Suzuki,Swift,2026,WEDNESDAY,61
Diagnostics,Mahindra,Scorpio,2024,WEDNESDAY,51
General Inspection,Ford,Figo,2022,WEDNESDAY,40
Battery Replacement,Ford,Figo,2020,FRIDAY,34
Battery Replacement,Maruti Suzuki,Swift,2025,SATURDAY,42
Battery Replacement,Toyota,Innova,2026,THURSDAY,30
Battery Replacement,Kia,Sonet,2013,TUESDAY,46
Brake Service,Maruti Suzuki,Brezza,2009,SUNDAY,89
Wheel Alignment,Mahindra,Scorpio,2012,MONDAY,60
Wheel Alignment,Mahindra,Scorpio,2009,WEDNESDAY,55
AC Repair,Tata,Nexon,2026,TUESDAY,80
Diagnostics,Hyundai,i20,2009,MONDAY,73
AC Repair,Honda,Elevate,2018,THURSDAY,76
Battery Replacement,Honda,City,2016,SUNDAY,44
Diagnostics,Tata,Altroz,2025,FRIDAY,54
Wheel Alignment,Hyundai,i20,2010,THURSDAY,66
Engine Service,Tata,Altroz,2016,SATURDAY,112
AC Repair,Maruti Suzuki,Brezza,2025,SUNDAY,79
Brake Service,Hyundai,Verna,2010,MONDAY,74
Oil Change,Maruti Suzuki,Swift,2026,WEDNESDAY,23
Oil Change,Tata,Punch,2011,SUNDAY,37
AC Repair,Maruti Suzuki,Swift,2019,TUESDAY,71
Diagnostics,Hyundai,Creta,2014,MONDAY,65
AC Repair,Mahindra,Bolero,2008,MONDAY,83
Diagnostics,Toyota,Fortuner,2010,FRIDAY,64
Brake Service,Toyota,Innova,2012,SUNDAY,75
Transmission Service,Ford,Figo,2026,FRIDAY,104
AC Repair,Mahindra,XUV700,2016,WEDNESDAY,72
Diagnostics,Maruti Suzuki,Brezza,2010,FRIDAY,70
Battery Replacement,Ford,EcoSport,2017,SUNDAY,39
Engine Service,Maruti Suzuki,Baleno,2010,MONDAY,106
Brake Service,Kia,Seltos,2013,MONDAY,71
Diagnostics,Toyota,Innova,2019,THURSDAY,59
Tire Replacement,Mahindra,XUV700,2021,FRIDAY,58
Oil Change,Kia,Sonet,2025,THURSDAY,33
Tire Replacement,Honda,Elevate,2016,WEDNESDAY,52
Engine Service,Honda,Elevate,2017,TUESDAY,97
Wheel Alignment,Kia,Seltos,2025,MONDAY,54
Brake Service,Mahindra,XUV700,2022,SUNDAY,65
Oil Change,Kia,Sonet,2022,FRIDAY,34
Brake Service,Mahindra,XUV700,2019,THURSDAY,69
Oil Change,Hyundai,Venue,2018,MONDAY,36
Oil Change,Ford,Figo,2008,SATURDAY,42
Tire Replacement,Maruti Suzuki,Swift,2011,THURSDAY,53
Engine Service,Kia,Seltos,2008,TUESDAY,103
Diagnostics,Kia,Seltos,2013,TUESDAY,68
Oil Change,Kia,Sonet,2015,WEDNESDAY,37
General Inspection,Tata,Nexon,2010,SATURDAY,46
Battery Replacement,Tata,Punch,2018,SUNDAY,43
Oil Change,Hyundai,Creta,2021,SUNDAY,31
Oil Change,Maruti Suzuki,Ertiga,2011,WEDNESDAY,36
Battery Replacement,Mahindra,Bolero,2026,WEDNESDAY,40
Diagnostics,Mahindra,XUV700,2022,WEDNESDAY,68
General Inspection,Ford,EcoSport,2012,THURSDAY,49
Transmission Service,Hyundai,Venue,2026,SATURDAY,136
Tire Replacement,Maruti Suzuki,Swift,2008,THURSDAY,54
Wheel Alignment,Honda,Amaze,2008,TUESDAY,57
Oil Change,Toyota,Glanza,2012,MONDAY,31
Tire Replacement,Kia,Seltos,2024,FRIDAY,46
General Inspection,Maruti Suzuki,Ertiga,2011,TUESDAY,41
Brake Service,Tata,Harrier,2019,SUNDAY,72
Transmission Service,Mahindra,XUV700,2009,WEDNESDAY,115
AC Repair,Maruti Suzuki,Swift,2009,THURSDAY,91
Transmission Service,Hyundai,i20,2020,FRIDAY,132
AC Repair,Hyundai,i20,2025,THURSDAY,69
Oil Change,Honda,Amaze,2024,WEDNESDAY,27
Battery Replacement,Honda,Elevate,2014,FRIDAY,44
Brake Service,Honda,City,2008,THURSDAY,67
Diagnostics,Ford,Figo,2013,WEDNESDAY,62
Brake Service,Hyundai,i20,2023,TUESDAY,66
AC Repair,Mahindra,Scorpio,2012,THURSDAY,83
Engine Service,Toyota,Innova,2026,MONDAY,94
Battery Replacement,Tata,Altroz,2015,WEDNESDAY,39
Oil Change,Hyundai,i20,2021,SUNDAY,36
Oil Change,Mahindra,XUV700,2008,SATURDAY,41
AC Repair,Toyota,Innova,2008,TUESDAY,74
General Inspection,Maruti Suzuki,Brezza,2020,THURSDAY,43
Oil Change,Toyota,Fortuner,2018,THURSDAY,34
Brake Service,Ford,Figo,2026,SUNDAY,67
Transmission Service,Kia,Sonet,2013,THURSDAY,145
Oil Change,Honda,City,2021,SATURDAY,37
Oil Change,Tata,Punch,2019,WEDNESDAY,31
Engine Service,Tata,Nexon,2016,THURSDAY,120
Transmission Service,Tata,Nexon,2022,MONDAY,123
General Inspection,Mahindra,XUV700,2015,SATURDAY,52
Tire Replacement,Kia,Seltos,2011,SATURDAY,61
Transmission Service,Tata,Nexon,2019,FRIDAY,140
Diagnostics,Hyundai,Venue,2026,MONDAY,48
AC Repair,Maruti Suzuki,Swift,2024,THURSDAY,73
Engine Service,Maruti Suzuki,Ertiga,2026,SATURDAY,112
Diagnostics,Ford,EcoSport,2011,THURSDAY,63
Oil Change,Mahindra,XUV700,2023,FRIDAY,32
Transmission Service,Honda,City,2025,THURSDAY,116
Transmission Service,Ford,EcoSport,2024,WEDNESDAY,118
Brake Service,Toyota,Innova,2011,FRIDAY,81
Diagnostics,Tata,Nexon,2009,TUESDAY,72
Engine Service,Honda,Elevate,2017,FRIDAY,119
Tire Replacement,Tata,Altroz,2009,WEDNESDAY,60
General Inspection,Toyota,Glanza,2023,WEDNESDAY,38
Engine Service,Maruti Suzuki,Swift,2021,WEDNESDAY,83
Transmission Service,Honda,Elevate,2008,SATURDAY,175
Oil Change,Tata,Nexon,2014,MONDAY,37
Wheel Alignment,Tata,Altroz,2012,TUESDAY,57
Battery Replacement,Maruti Suzuki,Baleno,2019,SATURDAY,40
Tire Replacement,Hyundai,Creta,2024,MONDAY,38
AC Repair,Toyota,Glanza,2014,MONDAY,87
Oil Change,Mahindra,Bolero,2015,SUNDAY,34
AC Repair,Maruti Suzuki,Baleno,2012,SUNDAY,93
General Inspection,Hyundai,Creta,2010,THURSDAY,44
General Inspection,Ford,Figo,2020,SUNDAY,40
Transmission Service,Hyundai,Creta,2026,SATURDAY,146
Oil Change,Toyota,Innova,2025,SUNDAY,33
Wheel Alignment,Maruti Suzuki,Brezza,2020,TUESDAY,55
Tire Replacement,Maruti Suzuki,Brezza,2023,MONDAY,48
Engine Service,Hyundai,Venue,2020,FRIDAY,119
AC Repair,Kia,Sonet,2009,THURSDAY,70
Tire Replacement,Kia,Seltos,2010,FRIDAY,51
Brake Service,Hyundai,Venue,2026,WEDNESDAY,60
Wheel Alignment,Toyota,Fortuner,2009,THURSDAY,64
Tire Replacement,Toyota,Fortuner,2014,SATURDAY,58
Tire Replacement,Kia,Sonet,2008,WEDNESDAY,50
Diagnostics,Honda,City,2013,THURSDAY,59
Battery Replacement,Kia,Seltos,2010,WEDNESDAY,44
AC Repair,Tata,Harrier,2025,SATURDAY,80
Brake Service,Toyota,Fortuner,2012,MONDAY,65
Oil Change,Ford,EcoSport,2021,TUESDAY,27
Tire Replacement,Toyota,Fortuner,2010,SATURDAY,56
Wheel Alignment,Honda,City,2025,WEDNESDAY,46
Tire Replacement,Tata,Harrier,2022,TUESDAY,52
Brake Service,Honda,City,2015,WEDNESDAY,62
Tire Replacement,Hyundai,Creta,2010,MONDAY,52
Engine Service,Ford,Figo,2008,WEDNESDAY,98
Wheel Alignment,Mahindra,Scorpio,2020,SATURDAY,58
Brake Service,Ford,Figo,2026,SATURDAY,67
Wheel Alignment,Mahindra,XUV700,2019,TUESDAY,48
Wheel Alignment,Kia,Sonet,2024,THURSDAY,54
General Inspection,Kia,Seltos,2016,TUESDAY,48
Brake Service,Hyundai,i20,2026,WEDNESDAY,63
Transmission Service,Toyota,Fortuner,2010,SUNDAY,145
Transmission Service,Tata,Harrier,2019,FRIDAY,154
AC Repair,Kia,Sonet,2022,TUESDAY,85
Oil Change,Ford,Figo,2012,TUESDAY,39
Brake Service,Maruti Suzuki,Ertiga,2013,THURSDAY,77
Oil Change,Toyota,Fortuner,2025,FRIDAY,36
Tire Replacement,Honda,City,2021,SUNDAY,58
Wheel Alignment,Honda,Elevate,2009,THURSDAY,65
Transmission Service,Kia,Seltos,2022,TUESDAY,147
Oil Change,Hyundai,i20,2023,FRIDAY,37
Brake Service,Tata,Altroz,2011,MONDAY,66
General Inspection,Toyota,Glanza,2013,TUESDAY,50
Brake Service,Toyota,Fortuner,2013,THURSDAY,75
Diagnostics,Toyota,Glanza,2023,MONDAY,53
General Inspection,Ford,EcoSport,2013,SUNDAY,46
Oil Change,Kia,Sonet,2012,TUESDAY,31
Diagnostics,Ford,Figo,2012,FRIDAY,60
AC Repair,Honda,City,2022,MONDAY,78
General Inspection,Toyota,Innova,2009,SUNDAY,49
Battery Replacement,Ford,EcoSport,2008,WEDNESDAY,39
Brake Service,Hyundai,i20,2008,TUESDAY,62
Battery Replacement,Maruti Suzuki,Ertiga,2013,WEDNESDAY,41
Diagnostics,Honda,City,2021,MONDAY,55
Transmission Service,Maruti Suzuki,Baleno,2020,FRIDAY,130
General Inspection,Ford,EcoSport,2009,TUESDAY,50
Brake Service,Mahindra,Bolero,2012,FRIDAY,78
AC Repair,Tata,Nexon,2013,FRIDAY,83
Tire Replacement,Mahindra,XUV700,2019,FRIDAY,42
Brake Service,Honda,City,2012,TUESDAY,75
Diagnostics,Honda,Elevate,2014,FRIDAY,73
Transmission Service,Tata,Nexon,2017,WEDNESDAY,144
Tire Replacement,Mahindra,XUV700,2012,TUESDAY,47
AC Repair,Kia,Seltos,2024,WEDNESDAY,79
General Inspection,Hyundai,Verna,2009,FRIDAY,49
Battery Replacement,Kia,Sonet,2011,SUNDAY,43
Tire Replacement,Kia,Seltos,2011,MONDAY,53
Diagnostics,Maruti Suzuki,Baleno,2020,MONDAY,52
Engine Service,Honda,Elevate,2025,SATURDAY,119
Battery Replacement,Maruti Suzuki,Brezza,2021,SATURDAY,43
Wheel Alignment,Kia,Sonet,2014,WEDNESDAY,51
Diagnostics,Toyota,Innova,2012,TUESDAY,78
Battery Replacement,Tata,Altroz,2024,MONDAY,35
General Inspection,Toyota,Glanza,2012,WEDNESDAY,41
Transmission Service,Tata,Altroz,2013,SATURDAY,153
Brake Service,Kia,Seltos,2020,TUESDAY,68
Brake Service,Honda,Amaze,2009,THURSDAY,63
Tire Replacement,Ford,EcoSport,2010,SUNDAY,55
Wheel Alignment,Kia,Sonet,2016,MONDAY,51
